county_name,county_fips,fiscal_year,delivery_system,eligible_adult_female_medi_cal_beneficiaries,adult_female_beneficiaries_with_1plus_mental_health_service,mental_health_service_penetration_percent,value_status,source_mhs1_annotation
Sutter County,06101,2020/21,NSMHS,14816,1741,11.75,reported,""
Sutter County,06101,2020/21,SMHS,14746,633,4.29,reported,""
Sutter County,06101,2021/22,NSMHS,15629,1928,12.34,reported,""
Sutter County,06101,2021/22,SMHS,15564,610,3.92,reported,""
Sutter County,06101,2022/23,NSMHS,16730,1998,11.94,reported,""
Sutter County,06101,2022/23,SMHS,16655,612,3.67,reported,""
Tehama County,06103,2019/20,NSMHS,9575,1793,18.73,reported,""
Tehama County,06103,2019/20,SMHS,9546,430,4.50,reported,""
Tehama County,06103,2020/21,NSMHS,10054,1815,18.05,reported,""
Tehama County,06103,2020/21,SMHS,10021,364,3.63,reported,""
Tehama County,06103,2021/22,NSMHS,10757,1706,15.86,reported,""
Tehama County,06103,2021/22,SMHS,10694,314,2.94,reported,""
Tehama County,06103,2022/23,NSMHS,11497,2035,17.70,reported,""
Tehama County,06103,2022/23,SMHS,11437,212,1.85,reported,""
Trinity County,06105,2019/20,NSMHS,1830,267,14.59,reported,""
Trinity County,06105,2019/20,SMHS,1813,93,5.13,reported,""
Trinity County,06105,2020/21,NSMHS,1925,299,15.53,reported,""
Trinity County,06105,2020/21,SMHS,1916,105,5.48,reported,""
Trinity County,06105,2021/22,NSMHS,2085,300,14.39,reported,""
Trinity County,06105,2021/22,SMHS,2077,102,4.91,reported,""
Trinity County,06105,2022/23,NSMHS,2203,339,15.39,reported,""
Trinity County,06105,2022/23,SMHS,2194,108,4.92,reported,""
Tulare County,06107,2019/20,NSMHS,83017,11397,13.73,reported,""
Tulare County,06107,2019/20,SMHS,82326,1826,2.22,reported,""
Tulare County,06107,2020/21,NSMHS,83991,10900,12.98,reported,""
Tulare County,06107,2020/21,SMHS,83027,2047,2.47,reported,""
Tulare County,06107,2021/22,NSMHS,90252,11311,12.53,reported,""
Tulare County,06107,2021/22,SMHS,89231,2273,2.55,reported,""
Tulare County,06107,2022/23,NSMHS,95973,12468,12.99,reported,""
Tulare County,06107,2022/23,SMHS,95052,2568,2.70,reported,""
Tuolumne County,06109,2019/20,NSMHS,5442,1221,22.44,reported,""
Tuolumne County,06109,2019/20,SMHS,5416,355,6.55,reported,""
Tuolumne County,06109,2020/21,NSMHS,5494,1273,23.17,reported,""
Tuolumne County,06109,2020/21,SMHS,5472,331,6.05,reported,""
Tuolumne County,06109,2021/22,NSMHS,5955,1333,22.38,reported,""
Tuolumne County,06109,2021/22,SMHS,5937,298,5.02,reported,""
Tuolumne County,06109,2022/23,NSMHS,6394,1281,20.03,reported,""
Tuolumne County,06109,2022/23,SMHS,6383,403,6.31,reported,""
Ventura County,06111,2019/20,NSMHS,84629,11866,14.02,reported,""
Ventura County,06111,2019/20,SMHS,83988,2934,3.49,reported,""
Ventura County,06111,2020/21,NSMHS,85761,12585,14.67,reported,""
Ventura County,06111,2020/21,SMHS,85220,3080,3.61,reported,""
Ventura County,06111,2021/22,NSMHS,92170,12878,13.97,reported,""
Ventura County,06111,2021/22,SMHS,91532,3166,3.46,reported,""
Ventura County,06111,2022/23,NSMHS,99305,14148,14.25,reported,""
Ventura County,06111,2022/23,SMHS,98637,3600,3.65,reported,""
Yolo County,06113,2019/20,NSMHS,21335,3678,17.24,reported,""
Yolo County,06113,2019/20,SMHS,21168,472,2.23,reported,""
Yolo County,06113,2020/21,NSMHS,21350,3681,17.24,reported,""
Yolo County,06113,2020/21,SMHS,21009,427,2.03,reported,""
Yolo County,06113,2021/22,NSMHS,22857,3914,17.12,reported,""
Yolo County,06113,2021/22,SMHS,22490,505,2.25,reported,""
Yolo County,06113,2022/23,NSMHS,24345,3966,16.29,reported,""
Yolo County,06113,2022/23,SMHS,23948,529,2.21,reported,""
Yuba County,06115,2019/20,NSMHS,11461,1808,15.78,reported,""
Yuba County,06115,2019/20,SMHS,11412,606,5.31,reported,""
Yuba County,06115,2020/21,NSMHS,11734,1740,14.83,reported,""
Yuba County,06115,2020/21,SMHS,11668,598,5.13,reported,""
Yuba County,06115,2021/22,NSMHS,12655,1872,14.79,reported,""
Yuba County,06115,2021/22,SMHS,12587,590,4.69,reported,""
Yuba County,06115,2022/23,NSMHS,13479,2168,16.08,reported,""
Yuba County,06115,2022/23,SMHS,13430,592,4.41,reported,""
